Themen,Design,Beispielstudie/Metaanalyse,Kirstin,Samuel,Juergen,Kristina
Lesen digital versus analog,SuS lesen Inhalte digital oder analog und machen einen Test zum Textverständnis,ICILS-Studie?,6,6,6,6
Schreiben digital versus analog,SuS machen analog oder digital Notizen und machen einen Test zu konzeptuellem Wissen.,https://doi.org/10.1177%2F0956797614524581,6,6,5,6
Spatial Contiguity,"SuS erhalten Erklärungen, in denen zusammengehörende Informationen nah beieinander oder separiert dargestellt werden und machen einen Test zur Behaltensleistung.",https://doi.org/10.1007/s10648-018-9435-9,4,5,5,5
Temporal Contiguity,"SuS erhalten visuelle und auditive Erklärungen, die entweder zeitgleich oder nacheinander angeboten werden und machen einen Test zur Behaltensleistung",https://doi.org/10.1016/j.learninstruc.2006.10.001,4,6,5,5
Redundancy Principle,SuS lernen mit Erklärvideos in denen der gesprochene Text noch zusätzlich als Untertitel dargestellt wird oder nicht und machen einen Test zur Behaltensleistung.,https://doi.org/10.1111/jcal.12476,5,6,5,5
Multimedia Principle,SuS lernen Inhalte mit Text und Bild oder nur Text allein und machen einen Test zur Behaltensleistung.,https://doi.org/10.1371/journal.pone.0183884,5,5,5,5
Automatisiertes Feedback im Schreibprozess,SuS arbeiten eine Argumentation schriftlich aus und erhalten entweder Überarbeitungshinweise durch computerbasiertes Feedback oder werden instruiert ihr Argument selbst nochmals zu optimieren. Getestet wird die Qualitätsentwicklung der Argumentation vom ersten zum zweiten Entwurf der Argumentation.,10.1016/j.compedu.2019.103668,4,4,4,4
Simulationen von Chemie Experimenten,SuS führen chemische Experimente entweder selbst durch oder anhand von Computersimulationen und bearbeiten anschließend einen Wissenstest.,"systematisches Review von Salome Wörner (IWM) gerade under Review, das würden wir sicher bekommen",6,5,5,6
Intelligent Tutoring,SuS lernen Algebra entweder durch individualisierte Lernpfade mit regelmäßigem Feedback in Computerprogrammen oder in herkömmlichem Unterricht. Getestet wird das gelehrte Algebrawissen.,10.1080/01443410.2018.1495829,4,5,4,5
Flipped Classroom,SuS lernen entweder im Flipped Classroom oder herkömmlichen Unterricht und machen anschließend einen Wissenstest.,https://doi.org/10.1016/j.edurev.2020.100314,5,5,5,5
Video start/stoppbar vs. Vortrag,SuS lernen entweder anhand eines Videos (pausierbar) oder eines live-Vortrags und machen anschließend einen Wissenstest.,,6,6,6,6
